2025-09-29 19:44:54.870 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'MockBinanceClient' object has no attribute 'initialize'
2025-09-29 19:44:54.872 | ERROR    | runner.paper:run_paper_trading:711 | Paper trading session failed: 'MockBinanceClient' object has no attribute 'initialize'
2025-09-29 21:38:07.163 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:38:07.165 | ERROR    | runner.paper:run_paper_trading:711 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:46:22.789 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:46:22.791 | ERROR    | runner.paper:run_paper_trading:711 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:47:41.177 | ERROR    | runner.paper:_initialize_components:177 | PositionManager <class 'exchange.positions.PositionManager'> does not have initialize method!
2025-09-29 21:47:41.178 | ERROR    | runner.paper:_initialize_components:178 | Available methods: ['calculate_position_size', 'clear_cache', 'client', 'config', 'get_account_balance', 'get_all_positions', 'get_position', 'get_position_risk_metrics', 'setup_symbol']
2025-09-29 21:47:41.178 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:47:41.179 | ERROR    | runner.paper:run_paper_trading:722 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:53:55.938 | ERROR    | runner.paper:_initialize_components:177 | PositionManager <class 'exchange.positions.PositionManager'> does not have initialize method!
2025-09-29 21:53:55.938 | ERROR    | runner.paper:_initialize_components:178 | Available methods: ['calculate_position_size', 'clear_cache', 'client', 'config', 'get_account_balance', 'get_all_positions', 'get_position', 'get_position_risk_metrics', 'setup_symbol']
2025-09-29 21:53:55.939 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:53:55.940 | ERROR    | runner.paper:run_paper_trading:722 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 22:15:33.584 | ERROR    | runner.live:run_live_trading:614 | Live trading session failed: OrderManager.__init__() takes 2 positional arguments but 3 were given
2025-09-29 22:48:18.048 | ERROR    | runner.live:start:106 | Failed to start live trading engine: 'BinanceClient' object has no attribute 'test_connectivity'
2025-09-29 22:48:18.049 | ERROR    | runner.live:run_live_trading:614 | Live trading session failed: 'BinanceClient' object has no attribute 'test_connectivity'
2025-09-29 22:52:12.716 | ERROR    | runner.live:start:106 | Failed to start live trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 22:52:12.716 | ERROR    | runner.live:run_live_trading:614 | Live trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 22:56:24.653 | ERROR    | runner.paper:_initialize_components:177 | PositionManager <class 'exchange.positions.PositionManager'> does not have initialize method!
2025-09-29 22:56:24.653 | ERROR    | runner.paper:_initialize_components:178 | Available methods: ['client', 'config']
2025-09-29 22:56:24.653 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 22:56:24.654 | ERROR    | runner.paper:run_paper_trading:722 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 22:56:30.330 | ERROR    | runner.paper:_initialize_components:177 | PositionManager <class 'exchange.positions.PositionManager'> does not have initialize method!
2025-09-29 22:56:30.330 | ERROR    | runner.paper:_initialize_components:178 | Available methods: ['client', 'config']
2025-09-29 22:56:30.331 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 22:56:30.331 | ERROR    | runner.paper:run_paper_trading:722 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 23:08:34.593 | ERROR    | runner.paper:_initialize_components:177 | PositionManager <class 'exchange.positions.PositionManager'> does not have initialize method!
2025-09-29 23:08:34.594 | ERROR    | runner.paper:_initialize_components:178 | Available methods: ['client', 'config']
2025-09-29 23:08:34.594 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 23:08:34.594 | ERROR    | runner.paper:run_paper_trading:722 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 23:10:00.614 | ERROR    | runner.live:start:106 | Failed to start live trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 23:10:00.614 | ERROR    | runner.live:run_live_trading:614 | Live trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 23:10:51.080 | ERROR    | runner.paper:_initialize_components:177 | PositionManager <class 'exchange.positions.PositionManager'> does not have initialize method!
2025-09-29 23:10:51.081 | ERROR    | runner.paper:_initialize_components:178 | Available methods: ['client', 'config']
2025-09-29 23:10:51.081 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 23:10:51.082 | ERROR    | runner.paper:run_paper_trading:722 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
